Year,RoundName,MatchId,Player,Team,Opponent,Disposals,Kicks,Handballs,Marks,ContestedMarks,InterceptMarks,Tackles,PressureActs,Goals,Behinds,ShotsAtGoal,GoalAssists,ScoreInvolvements,TotalClearances,Hitouts,Inside50s,ContestedPossessions,GroundBallGets,Intercepts,HandballReceives,MetresGained,CentreBounceAttendancePercentage,TimeOnGround,DreamTeamPoints,RatingPoints,DisposalEfficiency,MarksOnLead,MarksInside50,TacklesInside50,Rebound50s
2023,Round 1,CD_M20230140101,Liam Baker,Richmond,Carlton,15,10,5,5,0,2,1,12,0,0,0,0,4,0,0,1,4,3,7,,273,,84,55,5.7,80,0,0,0,2
2023,Round 1,CD_M20230140101,Noah Balta,Richmond,Carlton,8,6,2,3,2,3,1,7,0,0,0,0,1,0,0,1,5,3,6,,199,,87,35,7.2,62.5,0,0,0,4
2023,Round 1,CD_M20230140101,Shai Bolton,Richmond,Carlton,18,15,3,6,1,0,4,8,1,1,3,1,3,3,0,7,8,3,1,,567,,88,88,7.9,66.7,0,2,1,0
2023,Round 1,CD_M20230140101,Nathan Broad,Richmond,Carlton,13,11,2,7,1,2,3,6,0,0,0,0,1,1,0,2,2,1,3,,209,,90,70,4.1,84.6,0,0,1,2
2023,Round 1,CD_M20230140101,Trent Cotchin,Richmond,Carlton,18,9,9,3,0,0,3,15,0,0,0,0,3,4,0,3,11,8,3,,263,,67,57,8.1,66.7,1,0,0,3
2023,Round 1,CD_M20230140101,Dylan Grimes,Richmond,Carlton,12,8,4,5,1,2,2,4,0,0,0,0,2,0,0,0,4,3,6,,107,,82,55,6.4,91.7,0,0,0,1
2023,Round 1,CD_M20230140101,Tom Lynch,Richmond,Carlton,10,9,1,6,4,0,0,10,3,3,6,0,6,2,1,1,9,2,0,,176,,89,63,13.3,60,1,5,0,0
2023,Round 1,CD_M20230140101,Rhyan Mansell,Richmond,Carlton,7,5,2,4,0,0,1,12,0,0,0,0,2,0,0,2,3,3,1,,93,,67,32,4.2,71.4,1,0,0,0
2023,Round 1,CD_M20230140101,Marlion Pickett,Richmond,Carlton,10,4,6,2,1,2,2,9,0,0,0,0,1,0,0,2,6,4,6,,126,,51,30,7.4,80,0,0,0,1
2023,Round 1,CD_M20230140101,Tim Taranto,Richmond,Carlton,32,18,14,3,0,0,8,23,0,2,4,0,4,5,0,4,12,8,3,,542,,80,123,7.2,56.3,0,0,3,3
2023,Round 1,CD_M20230140101,Nick Vlastuin,Richmond,Carlton,11,9,2,4,0,1,2,11,0,1,1,0,2,0,0,2,2,1,4,,205,,91,53,4.1,81.8,1,0,0,2
2023,Round 1,CD_M20230140101,Jacob Hopper,Richmond,Carlton,18,12,6,3,0,0,3,13,0,0,0,1,1,1,0,6,7,6,3,,381,,72,71,8.6,61.1,0,0,2,1
2023,Round 1,CD_M20230140101,Toby Nankervis,Richmond,Carlton,14,8,6,1,0,1,11,24,0,0,0,0,3,5,37,1,11,7,3,,170,,84,116,11.1,35.7,0,0,2,1
2023,Round 1,CD_M20230140101,Maurice Rioli,Richmond,Carlton,11,7,4,2,0,0,3,16,2,0,2,0,4,1,0,2,4,3,1,,208,,74,57,9.5,72.7,0,0,2,0
2023,Round 1,CD_M20230140101,Jack Graham,Richmond,Carlton,20,11,9,1,0,0,9,21,0,2,2,0,5,2,0,5,9,6,4,,283,,88,89,3.5,70,0,0,1,0
2023,Round 1,CD_M20230140101,Jayden Short,Richmond,Carlton,17,15,2,6,0,0,3,4,0,0,0,1,4,1,0,4,3,2,1,,479,,77,79,7,76.5,1,0,0,4
2023,Round 1,CD_M20230140101,Kamdyn McIntosh,Richmond,Carlton,17,11,6,5,0,0,3,10,0,0,0,1,3,1,0,3,4,1,2,,262,,82,69,2.2,70.6,0,0,0,2
2023,Round 1,CD_M20230140101,Jack Riewoldt,Richmond,Carlton,12,9,3,6,4,0,5,16,1,0,1,0,2,1,1,4,10,3,3,,197,,95,76,18.2,83.3,1,1,4,0
2023,Round 1,CD_M20230140101,Daniel Rioli,Richmond,Carlton,27,17,10,7,1,2,4,10,0,0,0,1,5,0,0,5,6,5,7,,681,,84,108,17.6,92.6,0,0,0,5
2023,Round 1,CD_M20230140101,Dion Prestia,Richmond,Carlton,23,10,13,4,0,0,1,13,0,1,2,0,3,5,0,2,13,10,5,,316,,81,71,7.9,73.9,0,1,0,1
2023,Round 1,CD_M20230140101,Dustin Martin,Richmond,Carlton,23,15,8,6,2,0,0,14,1,0,2,1,5,1,0,8,10,7,1,,432,,82,76,13.7,56.5,1,0,0,1
