Year,RoundName,MatchId,Player,WebsiteId,Team,Abbreviation,Image,Rating_Q1,Rating_Q2,Rating_Q3,Rating_Q4,RatingPoints,EstimatedRating,Equity_PreClearance,Equity_PostClearance,Equity_Possession,Equity_BallUse,CoachesVotes,Supercoach,DreamTeamPoints,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,AssistedMetresGained,Inside50s,Turnovers,Tackles,PressureActs,KickIns,ContestedPossessions,GroundBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,HandballReceives,Intercepts,Marks,ContestedMarks,InterceptMarks,CentreBounceAttendancePercentage,TotalClearances,FirstPossessions,RuckContests,Hitouts,HitoutsToAdvantage,ShotsAtGoal,Goals,Behinds,xScore,xScoreRating,GoalAssists,ScoreInvolvements,ScoreLaunches
2026,Round 28,20262801,Nick Watson,140caf1,Hawthorn,Haw,images/afl_logos/Haw-40.png,9,5.2,3,6,23.2,12.54,7.2,17.4,9.4,15.8,NA,122,91,86,15,1,16,68.8,472,69,3,3,0,5,0,12,5,7,5,3,2,2,1,0,14,5,5,0,0,0,9,6,2,25.4,12.6,0,11,5
2026,Round 28,20262801,Will Ashcroft,140cb1d,Brisbane,Bris,images/afl_logos/Bris-40.png,10.9,2.6,1.1,6.4,21,12.26,9.8,8.3,4.7,13.4,NA,127,98,83,18,10,28,67.9,554,333,10,6,1,12,0,10,5,1,1,11,0,4,0,0,83,8,8,0,0,0,1,1,0,2.1,3.9,2,10,2
2026,Round 28,20262801,Josh Ward,140b216,Hawthorn,Haw,images/afl_logos/Haw-40.png,2.1,4.2,5.1,8.3,19.7,11.85,12.4,3.3,7,10.6,NA,138,109,84,14,11,25,72,464,564,5,1,9,23,0,16,10,1,1,4,1,5,0,0,71,11,12,0,0,0,0,0,0,0,0,4,7,2
2026,Round 28,20262801,Dylan Moore,14087ea,Hawthorn,Haw,images/afl_logos/Haw-40.png,2.1,3.9,4.7,8.1,18.8,9.58,0.5,16.8,7.1,10.2,NA,102,73,86,10,7,17,88.2,444,177,4,3,2,8,0,9,6,7,5,4,2,4,0,0,2,2,1,0,0,0,2,1,1,6,1,0,7,1
2026,Round 28,20262801,Kai Lohmann,140a60a,Brisbane,Bris,images/afl_logos/Bris-40.png,0.4,4.4,10.9,1.3,17,8.83,0,15.5,7,8.3,NA,118,97,81,9,2,11,81.8,221,29,1,1,5,12,0,6,2,6,2,0,2,5,1,0,0,0,0,0,0,0,6,5,1,23.2,7.8,1,8,2
2026,Round 28,20262801,Mitch Lewis,14072b7,Hawthorn,Haw,images/afl_logos/Haw-40.png,8.4,4.2,0.6,3.1,16.4,7.37,0,14.6,6.9,9.2,NA,81,57,83,5,2,7,85.7,165,63,2,2,1,8,0,4,0,4,0,0,1,4,3,0,0,0,0,1,0,0,4,4,0,11.1,12.9,0,4,1
2026,Round 28,20262801,James Sicily,230ede,Hawthorn,Haw,images/afl_logos/Haw-40.png,1.9,6.6,1.7,3.9,14,9.68,0,11.9,8.2,3.9,NA,75,64,87,10,5,15,73.3,269,185,3,2,0,3,0,5,2,5,2,3,8,7,3,5,0,0,0,0,0,0,1,1,0,3.2,2.8,1,4,2
2026,Round 28,20262801,Dayne Zorko,2280e8,Brisbane,Bris,images/afl_logos/Bris-40.png,0,6.3,3.8,3.8,13.9,11.04,-0.8,12.6,5.5,6.6,NA,71,69,82,17,4,21,85.7,515,207,3,3,0,8,4,4,4,4,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2026,Round 28,20262801,Jack Gunston,22f697,Hawthorn,Haw,images/afl_logos/Haw-40.png,3.3,3.8,-1.4,7,12.7,8.24,0,11.9,6.2,6.5,NA,90,72,100,7,2,9,77.8,130,69,0,1,1,2,0,3,2,3,2,2,0,5,1,0,0,0,0,0,0,0,7,5,1,25.2,5.8,0,7,0
2026,Round 28,20262801,Harris Andrews,2db75b,Brisbane,Bris,images/afl_logos/Bris-40.png,1.4,1.9,4.5,4.7,12.5,10.87,0,10.6,6.9,0.1,NA,89,49,93,8,3,11,90.9,152,208,0,0,0,6,2,5,1,5,1,2,6,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2026,Round 28,20262801,Charlie Cameron,2da211,Brisbane,Bris,images/afl_logos/Bris-40.png,3.1,5.5,1.2,2.3,12.2,8.85,0,9.5,4.6,4.8,NA,78,71,80,10,3,13,69.2,334,167,5,2,1,3,0,3,2,3,2,4,1,4,0,0,0,0,0,0,0,0,5,3,1,15.6,3.4,0,7,1
2026,Round 28,20262801,Josh Dunkley,2daeaa,Brisbane,Bris,images/afl_logos/Bris-40.png,5.3,4.8,1.2,0.7,12,11.26,6.2,1.9,6.5,4.1,NA,88,87,79,8,11,19,84.2,95,322,1,2,9,21,0,8,5,2,1,5,3,3,0,2,74,5,6,0,0,0,0,0,0,0,0,0,3,3
2026,Round 28,20262801,Massimo D'Ambrosio,1408358,Hawthorn,Haw,images/afl_logos/Haw-40.png,6.5,2.9,1.5,1.1,11.9,9.33,0,8.9,9.3,-0.6,NA,101,86,74,14,8,22,86.4,351,216,3,2,3,5,0,9,7,9,7,7,9,5,2,1,0,0,0,0,0,0,1,0,1,4.5,-3.5,0,4,1
2026,Round 28,20262801,Cam Rayner,14077fb,Brisbane,Bris,images/afl_logos/Bris-40.png,0.6,6.6,3.7,0.6,11.5,10.6,7.4,0.9,4.3,3.6,NA,64,47,86,8,4,12,83.3,380,107,6,4,2,14,0,6,4,2,2,3,2,2,0,0,24,4,4,0,0,0,1,0,0,2.4,-2.4,2,3,0
2026,Round 28,20262801,Lloyd Meek,1407314,Hawthorn,Haw,images/afl_logos/Haw-40.png,0.7,5.3,2.2,3.2,11.4,11.5,6.5,2.6,4.4,1,NA,104,80,81,5,5,10,80,112,220,1,2,2,11,0,4,1,1,0,3,1,3,1,1,81,3,3,78,37,13,0,0,0,0,0,1,6,5
2026,Round 28,20262801,Lachie Neale,22ff1f,Brisbane,Bris,images/afl_logos/Bris-40.png,2.9,3.7,0.8,3.6,11,14.27,4.1,4.1,6.3,2.7,NA,119,102,80,17,9,26,76.9,381,270,2,4,5,18,0,12,9,3,3,4,3,4,0,0,74,9,10,0,0,0,0,0,0,0,0,0,3,2
2026,Round 28,20262801,Logan Morris,140dcb3,Brisbane,Bris,images/afl_logos/Bris-40.png,2.5,-0.4,1.5,7.4,10.9,8.86,0,10.4,3.9,6.6,NA,58,47,79,7,0,7,71.4,222,78,2,0,0,3,0,2,2,2,2,1,1,4,0,0,0,0,0,0,0,0,4,2,2,8.7,5.3,0,7,1
2026,Round 28,20262801,Jarman Impey,2309be,Hawthorn,Haw,images/afl_logos/Haw-40.png,-0.2,4.4,4.5,2.1,10.8,10.03,1.1,7.9,5.4,6.3,NA,55,37,82,9,2,11,81.8,286,66,1,5,2,11,1,5,3,4,2,5,5,2,0,2,0,1,1,0,0,0,0,0,0,0,0,2,4,2
2026,Round 28,20262801,Jarrod Berry,2dbf75,Brisbane,Bris,images/afl_logos/Bris-40.png,1.3,2.5,5.5,0.9,10.2,8.54,0.6,8.3,3.3,4.7,NA,73,70,80,12,3,15,80,353,95,4,3,1,12,0,3,3,2,2,2,6,6,0,2,0,1,1,0,0,0,1,1,0,2.4,3.6,0,2,1
2026,Round 28,20262801,Josh Weddle,140dc5f,Hawthorn,Haw,images/afl_logos/Haw-40.png,3.9,4.2,0.3,1.1,9.5,8.97,4.4,4.5,6.5,1.9,NA,65,52,84,6,6,12,75,187,138,2,2,2,10,0,8,5,6,4,3,3,2,0,0,0,2,1,11,3,0,1,1,0,4.1,1.9,2,3,2
2026,Round 28,20262801,Conor McKenna,2dbe56,Brisbane,Bris,images/afl_logos/Bris-40.png,3.5,0,4.7,1,9.2,9.16,-0.9,8.1,2.5,4.7,NA,95,72,75,13,6,19,68.4,223,211,2,0,0,7,0,3,2,3,2,5,0,5,0,0,0,1,0,0,0,0,1,1,0,2.3,3.7,3,6,0
2026,Round 28,20262801,Zac Bailey,1407848,Brisbane,Bris,images/afl_logos/Bris-40.png,-2,0.3,4.9,5.6,8.7,13.03,3.2,2.5,7.2,-1.7,NA,100,96,88,16,2,18,61.1,458,115,7,4,5,17,0,8,2,4,1,5,2,7,1,1,26,4,4,0,0,0,1,0,1,3.8,-2.8,1,7,0
2026,Round 28,20262801,Hugh McCluggage,1407312,Brisbane,Bris,images/afl_logos/Bris-40.png,0.1,1.8,0.5,5.9,8.3,11.31,0.3,4.1,5.5,-1.1,NA,123,126,80,18,5,23,56.5,447,240,6,6,6,9,0,7,4,5,3,9,2,5,0,0,19,1,2,0,0,0,6,3,2,20.8,-0.8,2,8,2
2026,Round 28,20262801,Karl Amon,230e0a,Hawthorn,Haw,images/afl_logos/Haw-40.png,2.1,1.2,1.2,3.5,8,7.77,0,6.6,3.4,2.6,NA,54,52,81,9,2,11,81.8,268,166,0,1,3,13,4,3,3,3,3,1,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2026,Round 28,20262801,Ty Gallop,140f5ab,Brisbane,Bris,images/afl_logos/Bris-40.png,3,2,1,1.7,7.6,7.92,0,5.8,3.4,1.5,NA,67,49,90,6,2,8,87.5,211,65,1,4,5,7,0,5,4,5,4,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2026,Round 28,20262801,Will Day,14090a6,Hawthorn,Haw,images/afl_logos/Haw-40.png,1.8,3.8,1.9,0.1,7.5,11.87,-0.2,4.8,2.7,2.3,NA,65,75,65,11,2,13,69.2,318,107,6,3,5,20,0,2,2,1,1,5,3,6,0,1,50,0,1,0,0,0,0,0,0,0,0,0,4,1
